date,05时,06时,07时,08时,09时,10时,11时,12时,13时,14时,15时,16时,17时,18时,19时,20时,21时,22时,23时
2018年1月24日,48,501,313,154,383,319,610,409,253,478,240,428,270,377,175,222,58,84,20
2018年1月25日,84,540,335,279,328,339,482,512,465,456,207,337,568,463,106,182,185,109,29
2018年1月26日,181,434,203,224,237,314,741,398,256,476,171,308,306,382,158,177,76,99,27
2018年1月27日,93,540,265,285,291,339,629,573,408,479,254,288,208,196,48,145,142,136,33
2018年1月28日,73,441,252,189,246,219,481,399,353,397,286,419,394,463,171,251,60,99,43
2018年1月29日,50,446,211,200,259,326,567,256,274,492,161,184,252,333,139,169,66,80,27
2018年1月30日,91,502,297,335,246,345,575,634,416,622,185,349,407,464,111,146,104,128,25
2018年1月31日,71,411,205,250,395,275,683,580,330,442,314,450,363,381,174,256,94,78,13
2018年2月1日,83,531,222,258,296,395,800,573,364,516,261,309,506,393,213,303,139,114,12
2018年2月2日,81,413,206,130,212,389,803,283,297,464,189,308,308,365,272,292,168,115,33
2018年2月3日,94,489,242,222,276,418,853,613,491,487,210,286,277,356,127,173,207,107,8
2018年2月4日,76,484,203,140,202,369,710,343,328,434,280,516,366,440,281,298,159,132,23
2018年2月5日,80,345,235,125,280,437,731,306,216,401,250,323,278,356,182,249,194,156,34
2018年2月6日,116,477,211,263,298,445,752,742,546,527,160,337,479,518,142,204,197,117,15
2018年2月7日,87,335,212,154,295,512,836,394,348,466,259,357,313,338,276,347,182,95,37
2018年2月8日,70,517,197,198,232,373,679,650,469,469,321,275,513,484,246,282,225,77,19
2018年2月9日,51,483,189,132,214,428,763,316,308,415,311,374,356,456,258,289,153,106,14
2018年2月10日,103,496,237,241,298,673,823,904,565,498,192,290,391,418,173,177,190,99,7
2018年2月11日,56,359,254,135,176,452,752,360,320,328,391,431,389,504,320,346,122,90,24
2018年2月12日,96,329,169,102,172,401,857,309,242,374,241,383,391,398,185,284,215,150,27
2018年2月13日,67,517,216,228,288,366,760,762,528,484,176,287,508,488,201,184,207,96,17
2018年2月14日,66,432,219,154,274,464,752,390,229,398,307,386,312,316,253,303,162,111,18
2018年2月15日,90,493,202,164,169,322,617,602,325,378,200,252,382,349,206,291,131,137,22
